Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee13t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Counties,60126,26814,22882,24295,40.4,4603,2942,3379,13.9,11843,10471,10989,45.2,10368,9469,9927,40.9,Counties
Municipalities,61984,27053,22211,24555,39.6,20545,15750,18027,73.4,3716,3669,3701,15.1,2792,2792,2827,11.5,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,47905,5972,5599,5717,11.9,3128,2819,2918,51,1291,1227,1246,21.8,1553,1553,1553,27.2,Rhode Island
State,18456,3037,3020,3031,16.4,319,317,318,10.5,1165,1150,1160,38.3,1553,1553,1553,51.2,State
"Local, total",29449,2935,2579,2686,9.1,2809,2502,2600,96.8,126,77,86,3.2,0,0,0,0,"Local, total"
Municipalities,15973,1818,1697,1745,10.9,1739,1629,1675,96,79,68,70,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,258695,30729,29181,29873,11.5,14090,13268,13628,45.6,5027,4422,4683,15.7,11612,11491,11562,38.7,South Carolina
State,78857,11042,10963,11006,14,2020,2016,2017,18.3,822,809,815,7.4,8200,8138,8174,74.3,State
"Local, total",179838,19687,18218,18867,10.5,12070,11252,11611,61.5,4205,3613,3868,20.5,3412,3353,3388,18,"Local, total"
Counties,33409,14081,12871,13400,40.1,7060,6421,6688,49.9,3651,3142,3369,25.1,3370,3308,3343,24.9,Counties
Municipalities,20247,5507,5242,5334,26.3,5030,4838,4914,92.1,439,366,382,7.2,38,38,38,0.7,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,46310,4740,4178,4418,9.5,2081,1835,1924,43.5,1031,877,963,21.8,1628,1466,1531,34.7,South Dakota
State,14442,1888,1757,1826,12.6,326,307,316,17.3,684,597,642,35.2,878,853,868,47.5,State
"Local, total",31868,2852,2421,2592,8.1,1755,1528,1608,62,347,280,321,12.4,750,613,663,25.6,"Local, total"
Counties,3527,1581,1251,1379,39.1,543,410,459,33.3,312,254,286,20.7,726,587,634,46,Counties
Municipalities,6622,1287,1170,1206,18.2,1219,1118,1150,95.4,38,26,28,2.3,30,26,28,2.3,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,325967,41680,38707,40077,12.3,21560,19768,20609,51.4,7571,6737,7087,17.7,12549,12202,12381,30.9,Tennessee
State,80587,11173,11081,11132,13.8,1609,1603,1607,14.4,2489,2443,2458,22.1,7075,7035,7067,63.5,State
"Local, total",245380,30507,27626,28945,11.8,19951,18165,19002,65.6,5082,4294,4629,16,5474,5167,5314,18.4,"Local, total"
Counties,134145,14972,13447,14087,10.5,7086,6412,6634,47.1,3750,3114,3416,24.2,4136,3921,4037,28.7,Counties
Municipalities,105293,15522,14103,14913,14.2,12846,11682,12383,83,1338,1188,1255,8.4,1338,1233,1275,8.5,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1411663,173206,165086,168395,11.9,75330,71452,72919,43.3,28482,25809,26843,15.9,69394,67825,68633,40.8,Texas
State,304828,52846,51991,52442,17.2,6698,6611,6652,12.7,5663,5523,5630,10.7,40485,39857,40160,76.6,State
"Local, total",1106835,120360,113095,115953,10.5,68632,64841,66267,57.1,22819,20286,21213,18.3,28909,27968,28473,24.6,"Local, total"
Counties,152438,68832,64866,66621,43.7,20904,19991,20545,30.8,19019,16912,17615,26.4,28909,27963,28461,42.7,Counties
Municipalities,183399,51630,48272,49252,26.9,47800,44894,45711,92.8,3830,3378,3541,7.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,141031,15697,13320,14145,10,7161,5543,6049,42.8,3254,2804,3000,21.2,5282,4973,5096,36,Utah
State,53868,5653,5271,5427,10.1,857,798,822,15.1,1636,1522,1573,29,3160,2951,3032,55.9,State
"Local, total",87163,10044,8049,8718,10,6304,4745,5227,60,1618,1282,1427,16.4,2122,2022,2064,23.7,"Local, total"
Counties,14370,5155,4382,4628,32.2,2097,1554,1703,36.8,938,808,865,18.7,2120,2020,2060,44.5,Counties
Municipalities,15040,4887,3660,4050,26.9,4207,3186,3504,86.5,680,474,546,13.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,39531,3614,3252,3364,8.5,1765,1456,1554,46.2,739,694,707,21,1110,1102,1103,32.8,Vermont
State,14314,2479,2397,2412,16.9,675,622,632,26.2,697,675,679,28.2,1107,1100,1101,45.6,State
"Local, total",25217,1135,855,952,3.8,1090,834,922,96.8,42,19,28,2.9,3,2,2,0.2,"Local, total"
Counties,64,30,11,21,32.8,6,5,6,28.6,24,6,15,71.4,0,0,0,0,Counties
Municipalities,2173,536,423,491,22.6,521,412,480,97.8,12,9,9,1.8,3,2,2,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,441389,56396,53139,54692,12.4,22034,20620,21327,39,9518,8499,8921,16.3,24844,24020,24444,44.7,Virginia
State,125234,20841,20044,20374,16.3,3210,3073,3148,15.5,4017,3685,3757,18.4,13614,13286,13469,66.1,State
"Local, total",316155,35555,33095,34318,10.9,18824,17547,18179,53,5501,4814,5164,15,11230,10734,10975,32,"Local, total"
Counties,183335,17070,15716,16330,8.9,9441,8746,9074,55.6,3043,2635,2817,17.3,4586,4335,4439,27.2,Counties
Municipalities,120367,16489,15415,15929,13.2,9395,8806,9076,57,2460,2180,2320,14.6,4634,4429,4533,28.5,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,331997,36039,32432,34770,10.5,14046,13656,13804,39.7,8308,7391,7832,22.5,13685,11385,13134,37.8,Washington
State,117911,13023,10683,12497,10.6,2209,2168,2183,17.5,1997,1798,1938,15.5,8817,6717,8376,67,State
"Local, total",214086,23016,21749,22273,10.4,11837,11488,11621,52.2,6311,5593,5894,26.5,4868,4668,4758,21.4,"Local, total"
Counties,40028,14284,13354,13673,34.2,4648,4429,4484,32.8,5064,4545,4728,34.6,4572,4380,4461,32.6,Counties
Municipalities,39776,8446,8173,8309,20.9,7047,6943,6999,84.2,1090,931,1004,12.1,309,299,306,3.7,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,104603,10918,10200,10480,10,4238,3827,3991,38.1,2858,2582,2680,25.6,3822,3791,3809,36.3,West Virginia
State,41120,6320,6246,6284,15.3,1056,1036,1044,16.6,1619,1570,1596,25.4,3645,3640,3644,58,State
"Local, total",63483,4598,3954,4196,6.6,3182,2791,2947,70.2,1239,1012,1084,25.8,177,151,165,3.9,"Local, total"
Counties,7788,2640,2257,2400,30.8,1363,1183,1243,51.8,1100,924,992,41.3,177,150,165,6.9,Counties
Municipalities,9725,1985,1686,1791,18.4,1845,1609,1698,94.8,140,77,93,5.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,274500,37621,32660,34494,12.6,17563,14620,15471,44.9,6133,5062,5462,15.8,13925,12978,13561,39.3,Wisconsin
State,72347,13041,12085,12689,17.5,772,734,759,6,2390,2099,2263,17.8,9879,9252,9667,76.2,State
"Local, total",202153,24580,20575,21805,10.8,16791,13886,14712,67.5,3743,2963,3199,14.7,4046,3726,3894,17.9,"Local, total"
Counties,43335,12905,10993,11574,26.7,5981,4889,5141,44.4,3091,2561,2735,23.6,3833,3543,3698,32,Counties
Municipalities,36482,10964,9067,9687,26.6,10404,8726,9291,95.9,518,314,362,3.7,42,27,34,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,50352,5209,4909,5022,10,2071,1952,1993,39.7,1077,949,991,19.7,2061,2008,2038,40.6,Wyoming
State,13344,2192,2161,2176,16.3,292,292,292,13.4,559,529,544,25,1341,1340,1340,61.6,State
"Local, total",37008,3017,2748,2846,7.7,1779,1660,1701,59.8,518,420,447,15.7,720,668,698,24.5,"Local, total"
Counties,7849,1730,1590,1648,21,649,613,625,37.9,374,321,339,20.6,707,656,684,41.5,Counties
Municipalities,4570,1256,1132,1167,25.5,1114,1034,1060,90.8,142,98,107,9.2,0,0,0,0,Municipalities
Note: Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
